seed,L,b,device,num_threads,time_median_s,time_iqr_s,dense_inv_time_s,dense_chol_time_s,kappa,forward_normwise,forward_componentwise,forward_worst_block,factorization_residual,selected_inverse_residual,peak_rss_bytes_noisy,precision_name
0,4,8,cpu,1,0.0006018200001562946,4.622000124072652e-05,4.9631500005489215e-05,3.756299993256107e-05,50.75372845703555,4.554316571628143e-07,1.7894217666854906e-05,7.027814845875284e-07,3.552713678800501e-15,7.248012381388946e-07,0,fp32
1,4,8,cpu,1,0.0005947400000877679,2.1169999672565566e-05,5.052399996202439e-05,3.828000008070376e-05,63.80637867588558,4.2421925191297055e-07,0.0014592889987738384,6.662362475073172e-07,7.105427357601002e-15,8.320644402370903e-07,0,fp32
2,4,8,cpu,1,0.0005890500004170462,1.3369999942369846e-05,5.157949999556877e-05,3.817349999735598e-05,54.47587442346595,4.3563454198177477e-07,8.520661180492264e-05,8.243960859048509e-07,3.552713678800501e-15,6.142483620352746e-07,0,fp32
0,8,8,cpu,1,0.0012162999992142431,0.00010569998630671762,0.00010409000096842647,9.37569999950938e-05,61.400458468765066,4.94157425156152e-07,0.00032636916533633313,8.189213795775344e-07,7.105427357601002e-15,7.521764980450429e-07,0,fp32
1,8,8,cpu,1,0.0012087999930372462,3.7374997191363946e-05,0.00010409499955130742,9.591000009095296e-05,69.26242841577545,4.434689807693851e-07,9.12640601140695e-05,7.64547475961165e-07,7.105427357601002e-15,6.733741415576588e-07,0,fp32
2,8,8,cpu,1,0.0012308500008657575,3.714999547810294e-05,0.00010525999969104304,9.457999985897913e-05,55.68923582470481,3.810017296518782e-07,0.00038611598489662934,7.192830982367445e-07,7.105427357601002e-15,9.497212303255509e-07,0,fp32
0,16,8,cpu,1,0.002522900002077222,8.092500502243638e-05,0.00035468999994918703,0.0003438200001255609,69.64154585433623,4.997772382153995e-07,0.0005339699718607393,9.672798926093097e-07,7.105427357601002e-15,9.066912773914027e-07,0,fp32
1,16,8,cpu,1,0.002493399995728396,5.884999700356275e-05,0.00035287499922560524,0.0003404450006200932,75.31523450465981,4.227557547872491e-07,0.0002926032934295347,9.0120684108686e-07,7.105427357601002e-15,8.17596471414106e-07,0,fp32
2,16,8,cpu,1,0.0025674999924376607,0.00012844998855143785,0.0003558299991709646,0.0003526400003465824,60.89576922159835,3.9189042098966423e-07,0.0017521817015990842,6.968656882948108e-07,7.105427357601002e-15,8.121943144701049e-07,0,fp32
0,32,8,cpu,1,0.005125600000610575,0.00016265000158455223,0.002174000008380972,0.0017598999984329566,64.19927058954019,4.5343518486874316e-07,0.0012001837108137996,8.644426492940222e-07,7.105427357601002e-15,8.587031143925117e-07,0,fp32
1,32,8,cpu,1,0.005385450000176206,0.0010488750049262308,0.002149499996448867,0.0017005999980028719,65.70890372330075,3.8107457381255746e-07,0.0013501037844198022,7.991000408098759e-07,7.105427357601002e-15,7.431612725206094e-07,0,fp32
2,32,8,cpu,1,0.005130249999638181,0.0001945249860000331,0.002137499992386438,0.001764300002832897,60.88164066130255,4.006300256919012e-07,0.0009601455665180154,8.065113027880982e-07,1.0658141036401503e-14,1.2126134301126967e-06,0,fp32
0,64,8,cpu,1,0.010907249990850687,0.00036610001188819297,0.014314300002297387,0.009856699994998053,73.67113895414894,4.754341219262183e-07,0.0024926590690013983,9.57383943272545e-07,7.105427357601002e-15,8.173971668412605e-07,0,fp32
1,64,8,cpu,1,0.010269800004607532,0.00013215001672506332,0.013992749998578802,0.00960220000706613,64.4321649553828,4.336348655697607e-07,0.26533902529169395,9.302945175859526e-07,7.105427357601002e-15,9.321834898295966e-07,0,fp32
